Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,Country,Employment,ConvertedCompYearly
18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0,1.0,Pakistan,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",7322.0
25-34 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12.0,6.0,Austria,"Employed, full-time",30074.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,6.0,Turkey,"Employed, full-time",91295.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,17.0,France,"Independent contractor, freelancer, or self-employed",53703.0
25-34 years old,Remote,Some college/university study without earning a degree,7.0,7.0,United States of America,"Employed, full-time;Student, part-time",110000.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",32.0,18.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",161044.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32.0,25.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",121018.0
45-54 years old,Remote,Some college/university study without earning a degree,38.0,30.0,United States of America,"Employed, full-time",195000.0
35-44 years old,Remote,Some college/university study without earning a degree,23.0,20.0,Bulgaria,"Employed, full-time",44586.0
55-64 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",50.0,50.0,France,"Employed, full-time",57999.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,27.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",184712.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,16.0,Greece,"Employed, full-time;Independent contractor, freelancer, or self-employed",79481.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,17.0,Brazil,"Employed, full-time;Independent contractor, freelancer, or self-employed",170000.0
25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,1.0,Germany,"Employed, full-time",29000.0
25-34 years old,Remote,Some college/university study without earning a degree,6.0,4.0,Italy,"Independent contractor, freelancer, or self-employed",66592.0
55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,30.0,Germany,"Employed, full-time",85925.0
